caseid,educ,age,religion,region,wealthCat,wealthDec,urban,,,,,,,
10151  2,6,28,Catholic,Atlantida,Middle,46319,1,,,,,,,
10161  1,9,39,Catholic,Atlantida,Middle,40469,1,,,,,,,
10171  2,6,32,Evangelical / Protestant,Atlantida,Richest,119966,1,,,,,,,
10181  1,6,21,Evangelical / Protestant,Atlantida,Richest,138391,1,,,,,,,
10201  2,6,44,Catholic,Atlantida,Richest,164428,1,,,,,,,
11 41  2,12,22,Catholic,Atlantida,Richer,59331,1,,,,,,,
11 51  2,6,32,Evangelical / Protestant,Atlantida,Richest,126803,1,,,,,,,
11 61  2,7,35,Catholic,Atlantida,Middle,38965,1,,,,,,,
11 71  2,4,34,Catholic,Atlantida,Middle,38896,1,,,,,,,
11 81  2,6,38,Catholic,Atlantida,Richer,87531,1,,,,,,,
11 91  2,3,31,Catholic,Atlantida,Middle,-6713,1,,,,,,,
11101  2,9,25,No religion,Atlantida,Middle,-20963,1,,,,,,,
11121  2,3,28,Evangelical / Protestant,Atlantida,Middle,-3862,1,,,,,,,
11131  2,6,36,Evangelical / Protestant,Atlantida,Middle,30479,1,,,,,,,
11131  6,7,18,No religion,Atlantida,Middle,30479,1,,,,,,,
11141  2,3,27,No religion,Atlantida,Middle,37493,1,,,,,,,
11161  2,2,27,Evangelical / Protestant,Atlantida,Middle,37599,1,,,,,,,
11171  1,10,39,Evangelical / Protestant,Atlantida,Middle,28952,1,,,,,,,
12 11  2,14,40,Catholic,Atlantida,Richest,153103,1,,,,,,,
12 51  2,13,31,Catholic,Atlantida,Richest,184890,1,,,,,,,
12 61  2,12,28,Evangelical / Protestant,Atlantida,Richest,163654,1,,,,,,,
12121  2,16,46,Catholic,Atlantida,Richest,198891,1,,,,,,,
12151  1,7,27,No religion,Atlantida,Richer,89234,1,,,,,,,
12161  4,12,27,Evangelical / Protestant,Atlantida,Richest,191421,1,,,,,,,
12171  1,17,35,Catholic,Atlantida,Richer,116610,1,,,,,,,
12191  1,17,44,Evangelical / Protestant,Atlantida,Richest,160442,1,,,,,,,
13 21  1,2,42,No religion,Atlantida,Poorest,-131143,1,,,,,,,
13 31  2,6,29,Evangelical / Protestant,Atlantida,Middle,26953,1,,,,,,,
13 41  4,12,26,No religion,Atlantida,Middle,26685,1,,,,,,,
13 51  1,6,25,Evangelical / Protestant,Atlantida,Richer,57355,1,,,,,,,
13 61  1,6,33,Evangelical / Protestant,Atlantida,Middle,14032,1,,,,,,,
13 71  2,3,37,Evangelical / Protestant,Atlantida,Richer,82428,1,,,,,,,
13 71  8,2,27,Evangelical / Protestant,Atlantida,Richer,82428,1,,,,,,,
13 81  2,6,32,Evangelical / Protestant,Atlantida,Middle,11750,1,,,,,,,
13 91  2,6,25,Evangelical / Protestant,Atlantida,Richer,50441,1,,,,,,,
13101  2,3,28,No religion,Atlantida,Richer,73764,1,,,,,,,
13101  7,3,36,Evangelical / Protestant,Atlantida,Richer,73764,1,,,,,,,
13121  4,2,48,Evangelical / Protestant,Atlantida,Middle,2797,1,,,,,,,
13131  2,7,21,Evangelical / Protestant,Atlantida,Middle,24513,1,,,,,,,
13141  1,5,29,No religion,Atlantida,Middle,1405,1,,,,,,,
13151  2,6,25,Evangelical / Protestant,Atlantida,Richer,77831,1,,,,,,,
13161  2,11,20,Evangelical / Protestant,Atlantida,Richer,50952,1,,,,,,,
13191  2,6,41,Evangelical / Protestant,Atlantida,Richer,84380,1,,,,,,,
13191  3,8,22,Evangelical / Protestant,Atlantida,Richer,84380,1,,,,,,,
13201  2,0,41,Catholic,Atlantida,Richer,64298,1,,,,,,,
14 21  2,6,31,Evangelical / Protestant,Atlantida,Richest,135270,1,,,,,,,
14 51  2,17,44,Evangelical / Protestant,Atlantida,Richest,177420,1,,,,,,,
14 61  2,6,33,Catholic,Atlantida,Richest,125125,1,,,,,,,
14 71  2,4,27,Evangelical / Protestant,Atlantida,Middle,14795,1,,,,,,,
14 81  2,6,49,Evangelical / Protestant,Atlantida,Richer,111490,1,,,,,,,
14 81  5,12,32,Evangelical / Protestant,Atlantida,Richer,111490,1,,,,,,,
14 91  2,6,48,Catholic,Atlantida,Richer,110979,1,,,,,,,
14101  3,8,18,Catholic,Atlantida,Richest,156168,1,,,,,,,
14141  2,5,43,Evangelical / Protestant,Atlantida,Middle,5735,1,,,,,,,
14141 13,5,17,No religion,Atlantida,Middle,5735,1,,,,,,,
14151  2,6,30,Evangelical / Protestant,Atlantida,Middle,5696,1,,,,,,,
14171  2,6,19,Evangelical / Protestant,Atlantida,Richer,70037,1,,,,,,,
14181  2,6,47,Evangelical / Protestant,Atlantida,Middle,-6586,1,,,,,,,
14191  2,6,30,Evangelical / Protestant,Atlantida,Richer,81050,1,,,,,,,
14201  1,6,41,Catholic,Atlantida,Richer,105251,1,,,,,,,
15 31  2,12,26,Evangelical / Protestant,Atlantida,Richest,197670,1,,,,,,,
15131  2,3,40,Evangelical / Protestant,Atlantida,Richest,129795,1,,,,,,,
16 21  2,10,44,Catholic,Atlantida,Richest,170988,1,,,,,,,
16 21  3,13,25,Catholic,Atlantida,Richest,170988,1,,,,,,,
16 21  4,6,21,Evangelical / Protestant,Atlantida,Richest,170988,1,,,,,,,
16 41  2,17,46,Catholic,Atlantida,Richest,198309,1,,,,,,,
16 61  4,15,30,Catholic,Atlantida,Richest,204169,1,,,,,,,
16 81  4,17,26,Catholic,Atlantida,Richest,197869,1,,,,,,,
16151  2,18,45,Catholic,Atlantida,Richest,221342,1,,,,,,,
17 41  2,5,26,Catholic,Atlantida,Richest,123735,1,,,,,,,
17 81  2,17,33,Catholic,Atlantida,Richest,135345,1,,,,,,,
17 91  1,12,37,Evangelical / Protestant,Atlantida,Richest,160922,1,,,,,,,
17 91  3,11,16,Evangelical / Protestant,Atlantida,Richest,160922,1,,,,,,,
17131  1,5,45,Evangelical / Protestant,Atlantida,Richer,87423,1,,,,,,,
17151  2,11,38,Catholic,Atlantida,Richest,141968,1,,,,,,,
17181  2,12,37,Evangelical / Protestant,Atlantida,Richest,174043,1,,,,,,,
17191  2,12,27,No religion,Atlantida,Richest,154960,1,,,,,,,
17191  4,12,32,Evangelical / Protestant,Atlantida,Richest,154960,1,,,,,,,
18 21  2,17,31,Catholic,Atlantida,Richest,189768,1,,,,,,,
18 21  6,6,30,Evangelical / Protestant,Atlantida,Richest,189768,1,,,,,,,
18 41  2,11,40,Catholic,Atlantida,Richer,71438,1,,,,,,,
18 51  1,6,46,Evangelical / Protestant,Atlantida,Richer,94833,1,,,,,,,
18 51  3,10,19,Evangelical / Protestant,Atlantida,Richer,94833,1,,,,,,,
18 71  1,12,42,Evangelical / Protestant,Atlantida,Richest,158063,1,,,,,,,
18 81  4,6,25,Catholic,Atlantida,Richer,101445,1,,,,,,,
18 91  2,12,46,Evangelical / Protestant,Atlantida,Richest,185716,1,,,,,,,
18111  2,16,30,Evangelical / Protestant,Atlantida,Richest,217513,1,,,,,,,
18131  5,6,30,Evangelical / Protestant,Atlantida,Richer,76148,1,,,,,,,
18141  2,6,42,Catholic,Atlantida,Richest,128286,1,,,,,,,
18151  2,17,32,Catholic,Atlantida,Richest,156116,1,,,,,,,
18191  1,12,40,Catholic,Atlantida,Richest,152299,1,,,,,,,
18201  2,12,29,Catholic,Atlantida,Richest,123884,1,,,,,,,
19 11  1,6,44,Catholic,Atlantida,Richest,172858,1,,,,,,,
19 21  1,9,36,Evangelical / Protestant,Atlantida,Richest,179999,1,,,,,,,
19 31  2,18,29,Evangelical / Protestant,Atlantida,Richest,222160,1,,,,,,,
19 51  2,6,32,Catholic,Atlantida,Richest,141742,1,,,,,,,
19 71  3,17,36,Catholic,Atlantida,Richest,196540,1,,,,,,,
19111  1,6,27,Evangelical / Protestant,Atlantida,Richer,83535,1,,,,,,,
19161  1,6,46,Evangelical / Protestant,Atlantida,Middle,2517,1,,,,,,,
20 11  2,12,46,Catholic,Atlantida,Richest,141644,1,,,,,,,
20 11  6,12,21,Evangelical / Protestant,Atlantida,Richest,141644,1,,,,,,,
20 21  2,6,19,Evangelical / Protestant,Atlantida,Middle,14235,1,,,,,,,
20 31  2,12,25,Evangelical / Protestant,Atlantida,Richer,102342,1,,,,,,,
20 51  2,9,25,Evangelical / Protestant,Atlantida,Richer,76441,1,,,,,,,
20 61  2,6,37,Evangelical / Protestant,Atlantida,Richer,74804,1,,,,,,,
20 71  2,7,27,Evangelical / Protestant,Atlantida,Richer,78072,1,,,,,,,
20101  1,6,48,Catholic,Atlantida,Richest,125188,1,,,,,,,
20121  2,12,33,Evangelical / Protestant,Atlantida,Richer,109131,1,,,,,,,
20141  1,1,48,Catholic,Atlantida,Middle,47251,1,,,,,,,
20151  2,4,48,Evangelical / Protestant,Atlantida,Middle,25010,1,,,,,,,
20161  2,12,38,Catholic,Atlantida,Richer,84374,1,,,,,,,
20171  2,9,28,Catholic,Atlantida,Poorer,-84981,1,,,,,,,
20181  2,6,43,Evangelical / Protestant,Atlantida,Richer,92348,1,,,,,,,
20191  2,9,34,Evangelical / Protestant,Atlantida,Middle,15243,1,,,,,,,
21 31  2,9,42,Evangelical / Protestant,Atlantida,Richest,151210,1,,,,,,,
21 41  2,12,22,Catholic,Atlantida,Richest,153893,1,,,,,,,
21 61  2,6,30,Evangelical / Protestant,Atlantida,Middle,35999,1,,,,,,,
21 81  2,9,29,Evangelical / Protestant,Atlantida,Richer,104764,1,,,,,,,
21 91  1,10,20,Evangelical / Protestant,Atlantida,Middle,-22399,1,,,,,,,
21101  2,12,26,Evangelical / Protestant,Atlantida,Richest,169360,1,,,,,,,
21111  1,4,46,Evangelical / Protestant,Atlantida,Middle,2946,1,,,,,,,
22 11  1,12,46,Evangelical / Protestant,Atlantida,Richest,122796,1,,,,,,,
22 21  2,15,24,Catholic,Atlantida,Richest,181119,1,,,,,,,
22 31  2,13,39,Evangelical / Protestant,Atlantida,Richest,140336,1,,,,,,,
22 51  2,17,49,Evangelical / Protestant,Atlantida,Richest,169016,1,,,,,,,
22 61  2,10,21,No religion,Atlantida,Richest,183584,1,,,,,,,
22 81  2,9,26,No religion,Atlantida,Richer,108276,1,,,,,,,
22101  2,6,31,Evangelical / Protestant,Atlantida,Richer,107986,1,,,,,,,
22111  2,11,36,Evangelical / Protestant,Atlantida,Richest,148240,1,,,,,,,
22111  6,6,42,Evangelical / Protestant,Atlantida,Richest,148240,1,,,,,,,
22141  2,16,28,Catholic,Atlantida,Richest,141112,1,,,,,,,
22151  3,16,46,Catholic,Atlantida,Richest,148209,1,,,,,,,
22181  2,6,35,Evangelical / Protestant,Atlantida,Richer,93222,1,,,,,,,
22191  2,12,22,Evangelical / Protestant,Atlantida,Richer,95354,1,,,,,,,
23 41  1,6,29,Evangelical / Protestant,Atlantida,Middle,-18947,1,,,,,,,
23 51  2,6,33,Evangelical / Protestant,Atlantida,Richer,52204,1,,,,,,,
23 61  2,6,42,Evangelical / Protestant,Atlantida,Richer,52091,1,,,,,,,
23 81  1,17,25,Catholic,Atlantida,Richest,166093,1,,,,,,,
23111  2,12,28,Evangelical / Protestant,Atlantida,Richest,182146,1,,,,,,,
23121  2,12,39,Catholic,Atlantida,Richest,167318,1,,,,,,,
23131  2,16,37,Evangelical / Protestant,Atlantida,Richest,156712,1,,,,,,,
23151  2,6,49,Evangelical / Protestant,Atlantida,Richer,79583,1,,,,,,,
23151  6,6,27,Evangelical / Protestant,Atlantida,Richer,79583,1,,,,,,,
23171  2,6,34,Evangelical / Protestant,Atlantida,Richest,170476,1,,,,,,,
23191  2,11,49,Evangelical / Protestant,Atlantida,Richest,165901,1,,,,,,,
23201  7,16,37,Catholic,Atlantida,Richest,152695,1,,,,,,,
24 71  3,6,17,Evangelical / Protestant,Atlantida,Middle,44029,1,,,,,,,
24 81  1,6,38,Evangelical / Protestant,Atlantida,Richer,58404,1,,,,,,,
24111  2,7,40,Catholic,Atlantida,Richer,103029,1,,,,,,,
24121  1,6,36,Evangelical / Protestant,Atlantida,Middle,26564,1,,,,,,,
24131  2,13,34,Evangelical / Protestant,Atlantida,Richest,156836,1,,,,,,,
24141  2,2,39,No religion,Atlantida,Middle,46385,1,,,,,,,
24201  2,6,25,Catholic,Atlantida,Richer,105864,1,,,,,,,
25 11  2,3,26,Catholic,Atlantida,Middle,9901,1,,,,,,,
25 21  1,0,49,Catholic,Atlantida,Richest,124410,1,,,,,,,
25 31  2,12,29,Evangelical / Protestant,Atlantida,Richer,105873,1,,,,,,,
25 41  2,12,37,No religion,Atlantida,Richer,56989,1,,,,,,,
25 91  2,3,39,Evangelical / Protestant,Atlantida,Richer,61229,1,,,,,,,
25111  1,9,39,Evangelical / Protestant,Atlantida,Richest,125397,1,,,,,,,
25121  1,6,30,No religion,Atlantida,Middle,14523,1,,,,,,,
25131  2,6,40,No religion,Atlantida,Middle,19379,1,,,,,,,
25141  2,12,32,Evangelical / Protestant,Atlantida,Middle,23645,1,,,,,,,
25171  2,8,29,Evangelical / Protestant,Atlantida,Middle,-2627,1,,,,,,,
25191  2,6,35,Evangelical / Protestant,Atlantida,Middle,44385,1,,,,,,,
25201  2,6,33,Evangelical / Protestant,Atlantida,Richer,70018,1,,,,,,,
26 31  5,12,22,Catholic,Atlantida,Richer,109047,1,,,,,,,
26 71  9,11,20,Evangelical / Protestant,Atlantida,Richer,61896,1,,,,,,,
26 81  2,11,23,Evangelical / Protestant,Atlantida,Richer,90429,1,,,,,,,
26131  1,6,39,Evangelical / Protestant,Atlantida,Richer,58822,1,,,,,,,
26131  5,7,34,Evangelical / Protestant,Atlantida,Richer,58822,1,,,,,,,
26141  1,9,25,Catholic,Atlantida,Richer,96266,1,,,,,,,
26151  2,6,46,Evangelical / Protestant,Atlantida,Richer,110211,1,,,,,,,
26161  2,6,47,Catholic,Atlantida,Richest,149891,1,,,,,,,
26181  2,12,22,Catholic,Atlantida,Richest,129057,1,,,,,,,
27 31  2,16,29,Catholic,Atlantida,Richest,123788,1,,,,,,,
27 41  2,6,31,Catholic,Atlantida,Richer,91939,1,,,,,,,
27 51  3,12,18,Evangelical / Protestant,Atlantida,Richest,123399,1,,,,,,,
27 51  4,6,19,Evangelical / Protestant,Atlantida,Richest,123399,1,,,,,,,
27 71  1,6,25,Evangelical / Protestant,Atlantida,Richer,49831,1,,,,,,,
27 81  2,12,35,Catholic,Atlantida,Richer,61551,1,,,,,,,
27 91  1,6,24,Evangelical / Protestant,Atlantida,Richer,93991,1,,,,,,,
27101  2,17,44,Evangelical / Protestant,Atlantida,Richer,105804,1,,,,,,,
27111  2,6,25,Evangelical / Protestant,Atlantida,Richer,102804,1,,,,,,,
27121  1,0,43,Evangelical / Protestant,Atlantida,Middle,-14636,1,,,,,,,
27131  5,6,29,Evangelical / Protestant,Atlantida,Poorer,-90318,1,,,,,,,
27151  1,3,49,Evangelical / Protestant,Atlantida,Middle,30212,1,,,,,,,
27161  2,0,37,Evangelical / Protestant,Atlantida,Poorer,-45162,1,,,,,,,
27181  2,9,49,Evangelical / Protestant,Atlantida,Richest,131715,1,,,,,,,
27181  4,9,25,Evangelical / Protestant,Atlantida,Richest,131715,1,,,,,,,
27201  1,2,49,Evangelical / Protestant,Atlantida,Middle,-18622,1,,,,,,,
28 11  1,8,31,Catholic,Atlantida,Richest,152003,1,,,,,,,
28 21  6,12,26,No religion,Atlantida,Richest,162244,1,,,,,,,
28 71  1,2,45,Evangelical / Protestant,Atlantida,Richest,150951,1,,,,,,,
28 71  7,11,21,Evangelical / Protestant,Atlantida,Richest,150951,1,,,,,,,
28 81  2,8,44,Evangelical / Protestant,Atlantida,Richest,164170,1,,,,,,,
28 81  4,14,20,Evangelical / Protestant,Atlantida,Richest,164170,1,,,,,,,
28101  1,9,43,Evangelical / Protestant,Atlantida,Richer,94878,1,,,,,,,
28121  2,8,29,Evangelical / Protestant,Atlantida,Richest,146538,1,,,,,,,
28161  2,2,48,Catholic,Atlantida,Middle,29178,1,,,,,,,
29 41  1,4,45,Evangelical / Protestant,Atlantida,Richer,70964,1,,,,,,,
29 51  1,0,43,Catholic,Atlantida,Middle,412,1,,,,,,,
29 61  2,6,47,Catholic,Atlantida,Richer,87368,1,,,,,,,
29 61  3,12,26,Evangelical / Protestant,Atlantida,Richer,87368,1,,,,,,,
29 71  2,12,27,Catholic,Atlantida,Middle,23819,1,,,,,,,
29101  2,4,42,Evangelical / Protestant,Atlantida,Richest,128665,1,,,,,,,
29111  2,6,33,Evangelical / Protestant,Atlantida,Richer,95049,1,,,,,,,
29141  2,12,44,Evangelical / Protestant,Atlantida,Richest,157605,1,,,,,,,
29141  4,12,18,No religion,Atlantida,Richest,157605,1,,,,,,,
29151  4,11,31,Evangelical / Protestant,Atlantida,Richest,148275,1,,,,,,,
29161  2,12,25,Evangelical / Protestant,Atlantida,Richer,73242,1,,,,,,,
29171  2,15,32,Catholic,Atlantida,Richest,121687,1,,,,,,,
29191  2,12,34,Catholic,Atlantida,Richest,142422,1,,,,,,,
30 11  2,10,30,Evangelical / Protestant,Atlantida,Richer,73779,1,,,,,,,
30 21  2,6,27,Evangelical / Protestant,Atlantida,Richest,155112,1,,,,,,,
30 41  1,2,48,Evangelical / Protestant,Atlantida,Richer,104212,1,,,,,,,
30 51  2,6,38,Other,Atlantida,Richer,107163,1,,,,,,,
30 71  4,6,27,No religion,Atlantida,Richest,124582,1,,,,,,,
30 81  1,11,35,Evangelical / Protestant,Atlantida,Richer,113734,1,,,,,,,
30101  1,12,36,Evangelical / Protestant,Atlantida,Richer,84486,1,,,,,,,
30111  3,12,28,Catholic,Atlantida,Richer,76415,1,,,,,,,
30131  3,6,31,Evangelical / Protestant,Atlantida,Richer,53902,1,,,,,,,
